date,precip_mm,surface_wetness,root_wetness
2016-01-01,0.01,0.37,0.43
2016-01-02,0.23,0.36,0.43
2016-01-03,21.54,0.44,0.43
2016-01-04,12.62,0.59,0.49
2016-01-05,1.8,0.47,0.48
2016-01-06,0.08,0.43,0.47
2016-01-07,0.06,0.42,0.46
2016-01-08,0.54,0.41,0.45
2016-01-09,1.03,0.42,0.45
2016-01-10,0.15,0.41,0.45
2016-01-11,0.86,0.41,0.45
2016-01-12,1.13,0.41,0.44
2016-01-13,7.53,0.48,0.45
2016-01-14,4.11,0.48,0.46
2016-01-15,4.12,0.45,0.46
2016-01-16,12.73,0.55,0.47
2016-01-17,16.6,0.6,0.49
2016-01-18,7.49,0.56,0.5
2016-01-19,6.73,0.53,0.5
2016-01-20,12.11,0.59,0.5
2016-01-21,12.05,0.59,0.51
2016-01-22,40.02,0.76,0.55
2016-01-23,16.03,0.7,0.59
2016-01-24,14.93,0.7,0.6
2016-01-25,24.37,0.74,0.61
2016-01-26,14.29,0.72,0.63
2016-01-27,7.2,0.66,0.61
2016-01-28,0.65,0.6,0.59
2016-01-29,1.55,0.58,0.57
2016-01-30,0.24,0.56,0.55
2016-01-31,0.14,0.54,0.54
2016-02-01,0.12,0.53,0.53
2016-02-02,0.1,0.51,0.52
2016-02-03,0.16,0.5,0.51
2016-02-04,0.07,0.49,0.51
2016-02-05,0.01,0.48,0.5
2016-02-06,0.0,0.47,0.5
2016-02-07,0.0,0.46,0.49
2016-02-08,0.0,0.46,0.49
2016-02-09,0.01,0.45,0.49
2016-02-10,0.0,0.44,0.48
2016-02-11,0.14,0.44,0.48
2016-02-12,4.26,0.47,0.48
2016-02-13,1.89,0.49,0.48
2016-02-14,0.16,0.45,0.48
2016-02-15,0.51,0.44,0.48
2016-02-16,0.37,0.44,0.47
2016-02-17,0.03,0.43,0.47
2016-02-18,0.09,0.43,0.47
2016-02-19,0.73,0.44,0.47
2016-02-20,0.29,0.43,0.47
2016-02-21,0.19,0.42,0.47
2016-02-22,0.69,0.43,0.46
2016-02-23,2.49,0.45,0.47
2016-02-24,0.77,0.44,0.47
2016-02-25,0.56,0.43,0.46
2016-02-26,1.13,0.43,0.46
2016-02-27,0.45,0.43,0.46
2016-02-28,0.02,0.42,0.46
2016-02-29,0.02,0.41,0.46
2016-03-01,0.12,0.41,0.46
2016-03-02,0.21,0.41,0.45
2016-03-03,0.39,0.41,0.45
2016-03-04,3.66,0.44,0.45
2016-03-05,3.61,0.49,0.46
2016-03-06,0.67,0.44,0.46
2016-03-07,0.15,0.43,0.46
2016-03-08,0.11,0.42,0.46
2016-03-09,0.08,0.41,0.46
2016-03-10,0.4,0.41,0.45
2016-03-11,0.14,0.41,0.45
2016-03-12,0.29,0.41,0.45
2016-03-13,2.26,0.43,0.45
2016-03-14,2.63,0.45,0.45
2016-03-15,3.73,0.44,0.45
2016-03-16,4.59,0.47,0.46
2016-03-17,7.68,0.51,0.47
2016-03-18,5.68,0.51,0.47
2016-03-19,3.38,0.48,0.48
2016-03-20,2.77,0.47,0.47
2016-03-21,0.25,0.44,0.47
2016-03-22,0.06,0.42,0.46
2016-03-23,0.45,0.42,0.46
2016-03-24,2.25,0.45,0.46
2016-03-25,0.65,0.43,0.46
2016-03-26,0.69,0.42,0.46
2016-03-27,0.64,0.42,0.45
2016-03-28,0.31,0.41,0.45
2016-03-29,0.19,0.41,0.45
2016-03-30,4.28,0.46,0.45
2016-03-31,0.94,0.43,0.45
2016-04-01,0.44,0.42,0.45
2016-04-02,0.08,0.41,0.45
2016-04-03,0.06,0.41,0.45
2016-04-04,0.46,0.41,0.45
2016-04-05,2.53,0.44,0.45
2016-04-06,0.03,0.41,0.45
2016-04-07,0.05,0.4,0.45
2016-04-08,0.0,0.4,0.44
2016-04-09,0.01,0.4,0.44
2016-04-10,0.22,0.4,0.44
2016-04-11,1.93,0.41,0.44
2016-04-12,4.16,0.45,0.44
2016-04-13,3.32,0.45,0.45
2016-04-14,1.06,0.43,0.45
2016-04-15,0.16,0.41,0.45
2016-04-16,0.08,0.41,0.44
2016-04-17,1.14,0.42,0.44
2016-04-18,1.69,0.42,0.44
2016-04-19,2.37,0.42,0.44
2016-04-20,2.86,0.44,0.45
2016-04-21,0.71,0.44,0.45
2016-04-22,1.01,0.42,0.45
2016-04-23,0.21,0.41,0.45
2016-04-24,0.07,0.4,0.44
2016-04-25,0.02,0.4,0.44
2016-04-26,0.01,0.39,0.44
2016-04-27,0.0,0.39,0.44
2016-04-28,0.7,0.39,0.44
2016-04-29,3.93,0.44,0.44
2016-04-30,1.86,0.43,0.44
2016-05-01,7.45,0.51,0.46
2016-05-02,0.01,0.42,0.45
2016-05-03,0.02,0.41,0.45
2016-05-04,0.08,0.41,0.45
2016-05-05,0.06,0.41,0.44
2016-05-06,0.43,0.41,0.44
2016-05-07,0.06,0.41,0.44
2016-05-08,0.02,0.4,0.44
2016-05-09,0.02,0.4,0.44
2016-05-10,0.01,0.4,0.44
2016-05-11,0.03,0.39,0.43
2016-05-12,2.05,0.4,0.43
2016-05-13,10.9,0.51,0.45
2016-05-14,5.45,0.49,0.46
2016-05-15,1.45,0.45,0.46
2016-05-16,0.01,0.42,0.45
2016-05-17,0.05,0.41,0.45
2016-05-18,1.12,0.42,0.45
2016-05-19,1.71,0.43,0.45
2016-05-20,2.88,0.45,0.45
2016-05-21,2.78,0.45,0.45
2016-05-22,2.93,0.47,0.45
2016-05-23,2.25,0.43,0.45
2016-05-24,3.55,0.47,0.46
2016-05-25,0.88,0.43,0.46
2016-05-26,0.0,0.42,0.45
2016-05-27,0.0,0.42,0.45
2016-05-28,1.38,0.42,0.45
2016-05-29,2.48,0.46,0.45
2016-05-30,0.25,0.43,0.45
2016-05-31,0.11,0.42,0.45
2016-06-01,0.12,0.41,0.45
2016-06-02,0.24,0.41,0.45
2016-06-03,0.47,0.41,0.44
2016-06-04,0.37,0.41,0.44
2016-06-05,0.38,0.41,0.44
2016-06-06,0.0,0.4,0.44
2016-06-07,0.05,0.39,0.44
2016-06-08,1.01,0.4,0.44
2016-06-09,1.67,0.42,0.44
2016-06-10,0.1,0.41,0.44
2016-06-11,1.74,0.42,0.44
2016-06-12,0.25,0.41,0.44
2016-06-13,0.06,0.4,0.44
2016-06-14,0.04,0.39,0.44
2016-06-15,0.09,0.39,0.43
2016-06-16,0.1,0.38,0.43
2016-06-17,0.02,0.38,0.43
2016-06-18,0.0,0.38,0.43
2016-06-19,0.13,0.38,0.43
2016-06-20,0.04,0.38,0.43
2016-06-21,1.86,0.39,0.43
2016-06-22,2.42,0.42,0.44
2016-06-23,0.53,0.42,0.44
2016-06-24,2.03,0.41,0.44
2016-06-25,3.93,0.46,0.44
2016-06-26,1.78,0.43,0.44
2016-06-27,2.06,0.43,0.44
2016-06-28,1.71,0.44,0.44
2016-06-29,4.3,0.45,0.44
2016-06-30,9.56,0.53,0.46
2016-07-01,2.3,0.47,0.46
2016-07-02,2.54,0.47,0.46
2016-07-03,0.7,0.43,0.46
2016-07-04,2.66,0.46,0.46
2016-07-05,0.41,0.43,0.46
2016-07-06,0.86,0.43,0.45
2016-07-07,0.34,0.43,0.45
2016-07-08,0.26,0.42,0.45
2016-07-09,0.0,0.41,0.45
2016-07-10,0.0,0.41,0.45
2016-07-11,0.0,0.41,0.44
2016-07-12,0.0,0.41,0.44
2016-07-13,0.0,0.4,0.44
2016-07-14,0.01,0.4,0.44
2016-07-15,0.01,0.4,0.44
2016-07-16,0.0,0.39,0.44
2016-07-17,0.08,0.39,0.44
2016-07-18,0.06,0.39,0.44
2016-07-19,0.01,0.39,0.44
2016-07-20,0.08,0.39,0.43
2016-07-21,5.41,0.44,0.44
2016-07-22,4.45,0.48,0.45
2016-07-23,2.94,0.46,0.45
2016-07-24,1.92,0.45,0.45
2016-07-25,0.5,0.43,0.45
2016-07-26,0.14,0.42,0.45
2016-07-27,0.0,0.41,0.45
2016-07-28,0.87,0.41,0.44
2016-07-29,2.91,0.44,0.45
2016-07-30,11.88,0.54,0.46
2016-07-31,1.56,0.47,0.46
2016-08-01,0.29,0.44,0.46
2016-08-02,0.56,0.43,0.46
2016-08-03,2.11,0.44,0.45
2016-08-04,3.1,0.47,0.46
2016-08-05,0.73,0.44,0.46
2016-08-06,0.13,0.43,0.45
2016-08-07,0.03,0.42,0.45
2016-08-08,0.05,0.41,0.45
2016-08-09,0.06,0.41,0.45
2016-08-10,0.04,0.41,0.45
2016-08-11,3.3,0.45,0.45
2016-08-12,1.63,0.45,0.45
2016-08-13,0.11,0.42,0.45
2016-08-14,0.34,0.42,0.45
2016-08-15,0.12,0.41,0.45
2016-08-16,0.01,0.41,0.44
2016-08-17,0.3,0.4,0.44
2016-08-18,0.21,0.4,0.44
2016-08-19,1.31,0.42,0.44
2016-08-20,0.95,0.41,0.44
2016-08-21,0.3,0.4,0.44
2016-08-22,2.6,0.43,0.44
2016-08-23,0.39,0.42,0.44
2016-08-24,0.38,0.4,0.44
2016-08-25,0.31,0.4,0.44
2016-08-26,0.12,0.39,0.44
2016-08-27,0.29,0.39,0.44
2016-08-28,0.4,0.39,0.44
2016-08-29,0.33,0.39,0.44
2016-08-30,0.29,0.38,0.43
2016-08-31,1.25,0.39,0.43
2016-09-01,0.82,0.39,0.43
2016-09-02,1.82,0.4,0.43
2016-09-03,4.44,0.46,0.44
2016-09-04,3.31,0.46,0.45
2016-09-05,0.27,0.42,0.44
2016-09-06,1.02,0.41,0.44
2016-09-07,0.5,0.41,0.44
2016-09-08,0.02,0.4,0.44
2016-09-09,0.3,0.39,0.44
2016-09-10,0.12,0.39,0.44
2016-09-11,0.12,0.38,0.43
2016-09-12,0.07,0.38,0.43
2016-09-13,0.02,0.38,0.43
2016-09-14,0.0,0.37,0.43
2016-09-15,0.02,0.36,0.43
2016-09-16,1.01,0.37,0.43
2016-09-17,0.16,0.37,0.43
2016-09-18,0.06,0.37,0.43
2016-09-19,0.01,0.36,0.43
2016-09-20,1.37,0.36,0.43
2016-09-21,2.77,0.44,0.43
2016-09-22,0.04,0.4,0.43
2016-09-23,0.04,0.39,0.43
2016-09-24,0.0,0.38,0.43
2016-09-25,0.31,0.38,0.43
2016-09-26,10.85,0.5,0.44
2016-09-27,0.49,0.43,0.45
2016-09-28,0.26,0.41,0.44
2016-09-29,0.01,0.41,0.44
2016-09-30,2.57,0.43,0.44
2016-10-01,7.99,0.49,0.45
2016-10-02,6.16,0.51,0.46
2016-10-03,1.45,0.46,0.46
2016-10-04,4.26,0.46,0.46
2016-10-05,4.9,0.5,0.47
2016-10-06,2.49,0.45,0.46
2016-10-07,1.38,0.46,0.46
2016-10-08,0.06,0.42,0.46
2016-10-09,0.12,0.42,0.45
2016-10-10,2.73,0.43,0.45
2016-10-11,1.95,0.45,0.45
2016-10-12,0.42,0.42,0.45
2016-10-13,0.34,0.42,0.45
2016-10-14,0.66,0.42,0.45
2016-10-15,1.44,0.43,0.45
2016-10-16,0.22,0.41,0.45
2016-10-17,0.57,0.41,0.44
2016-10-18,0.1,0.4,0.44
2016-10-19,0.14,0.4,0.44
2016-10-20,0.61,0.4,0.44
2016-10-21,0.34,0.39,0.44
2016-10-22,0.88,0.39,0.44
2016-10-23,2.05,0.42,0.44
2016-10-24,0.94,0.4,0.44
2016-10-25,0.69,0.39,0.44
2016-10-26,1.35,0.41,0.44
2016-10-27,0.09,0.39,0.44
2016-10-28,7.33,0.4,0.43
2016-10-29,22.74,0.64,0.48
2016-10-30,1.82,0.5,0.49
2016-10-31,0.46,0.46,0.48
2016-11-01,3.36,0.45,0.47
2016-11-02,8.13,0.54,0.48
2016-11-03,3.59,0.49,0.48
2016-11-04,0.46,0.44,0.47
2016-11-05,1.19,0.44,0.47
2016-11-06,2.63,0.44,0.47
2016-11-07,21.11,0.6,0.48
2016-11-08,16.76,0.65,0.52
2016-11-09,9.93,0.61,0.53
2016-11-10,3.64,0.55,0.52
2016-11-11,1.66,0.51,0.51
2016-11-12,2.05,0.49,0.5
2016-11-13,13.1,0.56,0.5
2016-11-14,20.0,0.67,0.53
2016-11-15,26.99,0.73,0.57
2016-11-16,4.67,0.62,0.58
2016-11-17,6.7,0.62,0.56
2016-11-18,37.8,0.68,0.56
2016-11-19,19.92,0.72,0.63
2016-11-20,0.0,0.61,0.6
2016-11-21,0.0,0.59,0.58
2016-11-22,1.72,0.57,0.56
2016-11-23,28.99,0.73,0.58
2016-11-24,3.29,0.64,0.6
2016-11-25,0.78,0.6,0.58
2016-11-26,0.91,0.58,0.57
2016-11-27,1.04,0.57,0.56
2016-11-28,0.37,0.56,0.55
2016-11-29,0.18,0.54,0.54
2016-11-30,6.67,0.59,0.54
2016-12-01,3.62,0.58,0.54
2016-12-02,2.55,0.57,0.54
2016-12-03,0.92,0.55,0.54
2016-12-04,11.66,0.57,0.53
2016-12-05,24.83,0.7,0.58
2016-12-06,10.56,0.67,0.59
2016-12-07,0.31,0.59,0.58
2016-12-08,3.14,0.6,0.57
2016-12-09,1.91,0.59,0.56
2016-12-10,0.89,0.57,0.55
2016-12-11,3.98,0.57,0.55
2016-12-12,7.78,0.63,0.56
2016-12-13,4.27,0.6,0.56
2016-12-14,0.71,0.56,0.55
2016-12-15,1.19,0.55,0.54
2016-12-16,8.74,0.61,0.54
2016-12-17,2.91,0.58,0.55
2016-12-18,6.87,0.6,0.55
2016-12-19,4.09,0.6,0.55
2016-12-20,4.47,0.59,0.55
2016-12-21,5.41,0.61,0.55
2016-12-22,2.33,0.59,0.55
2016-12-23,0.09,0.55,0.54
2016-12-24,0.05,0.53,0.53
2016-12-25,1.09,0.53,0.53
2016-12-26,0.68,0.52,0.52
2016-12-27,0.13,0.5,0.51
2016-12-28,0.14,0.49,0.51
2016-12-29,0.0,0.48,0.5
2016-12-30,0.0,0.47,0.5
2016-12-31,0.08,0.46,0.49
2017-01-01,0.02,0.46,0.49
2017-01-02,0.01,0.45,0.49
