date,precip_mm,surface_wetness,root_wetness
2016-01-01,0.18,0.68,0.68
2016-01-02,1.24,0.68,0.67
2016-01-03,1.0,0.67,0.67
2016-01-04,4.69,0.69,0.67
2016-01-05,9.69,0.73,0.67
2016-01-06,3.32,0.71,0.68
2016-01-07,11.6,0.74,0.68
2016-01-08,14.19,0.79,0.7
2016-01-09,8.89,0.78,0.72
2016-01-10,9.95,0.78,0.72
2016-01-11,18.96,0.83,0.74
2016-01-12,19.91,0.86,0.76
2016-01-13,13.62,0.84,0.77
2016-01-14,16.7,0.85,0.78
2016-01-15,40.25,0.93,0.81
2016-01-16,18.54,0.91,0.84
2016-01-17,22.48,0.92,0.85
2016-01-18,19.27,0.91,0.85
2016-01-19,15.89,0.9,0.86
2016-01-20,3.93,0.84,0.84
2016-01-21,3.83,0.83,0.82
2016-01-22,0.29,0.8,0.8
2016-01-23,0.16,0.79,0.79
2016-01-24,1.08,0.79,0.78
2016-01-25,1.93,0.78,0.77
2016-01-26,2.72,0.77,0.77
2016-01-27,11.07,0.81,0.77
2016-01-28,15.29,0.86,0.79
2016-01-29,3.55,0.81,0.8
2016-01-30,0.09,0.79,0.79
2016-01-31,0.0,0.77,0.77
2016-02-01,0.04,0.76,0.76
2016-02-02,0.07,0.75,0.75
2016-02-03,0.09,0.74,0.74
2016-02-04,5.55,0.76,0.73
2016-02-05,4.88,0.76,0.74
2016-02-06,4.59,0.78,0.74
2016-02-07,9.41,0.8,0.75
2016-02-08,3.25,0.79,0.76
2016-02-09,0.15,0.75,0.75
2016-02-10,1.47,0.75,0.74
2016-02-11,8.47,0.78,0.74
2016-02-12,12.73,0.83,0.76
2016-02-13,1.48,0.77,0.76
2016-02-14,1.65,0.75,0.75
2016-02-15,3.92,0.77,0.74
2016-02-16,2.52,0.76,0.74
2016-02-17,2.1,0.75,0.74
2016-02-18,6.87,0.76,0.73
2016-02-19,9.07,0.81,0.75
2016-02-20,2.56,0.77,0.75
2016-02-21,2.83,0.76,0.74
2016-02-22,8.41,0.8,0.75
2016-02-23,0.29,0.76,0.75
2016-02-24,0.03,0.74,0.74
2016-02-25,8.91,0.79,0.74
2016-02-26,5.66,0.78,0.75
2016-02-27,7.7,0.79,0.75
2016-02-28,6.75,0.8,0.76
2016-02-29,7.9,0.8,0.76
2016-03-01,2.59,0.78,0.76
2016-03-02,10.3,0.82,0.77
2016-03-03,2.89,0.79,0.77
2016-03-04,3.74,0.78,0.76
2016-03-05,20.68,0.87,0.79
2016-03-06,4.43,0.81,0.79
2016-03-07,22.07,0.87,0.79
2016-03-08,2.01,0.83,0.81
2016-03-09,2.54,0.8,0.79
2016-03-10,14.28,0.84,0.79
2016-03-11,21.76,0.9,0.82
2016-03-12,10.99,0.88,0.83
2016-03-13,3.39,0.83,0.82
2016-03-14,0.86,0.81,0.81
2016-03-15,0.3,0.79,0.79
2016-03-16,0.09,0.79,0.79
2016-03-17,0.16,0.78,0.78
2016-03-18,0.12,0.78,0.77
2016-03-19,0.0,0.77,0.76
2016-03-20,0.0,0.76,0.75
2016-03-21,0.05,0.75,0.75
2016-03-22,0.11,0.74,0.74
2016-03-23,3.74,0.76,0.73
2016-03-24,5.92,0.77,0.74
2016-03-25,16.59,0.84,0.76
2016-03-26,2.15,0.79,0.77
2016-03-27,5.84,0.8,0.77
2016-03-28,3.54,0.8,0.77
2016-03-29,0.0,0.77,0.76
2016-03-30,0.21,0.76,0.76
2016-03-31,0.14,0.76,0.75
2016-04-01,0.02,0.75,0.75
2016-04-02,0.75,0.75,0.74
2016-04-03,0.33,0.74,0.73
2016-04-04,0.05,0.73,0.72
2016-04-05,0.01,0.72,0.72
2016-04-06,0.0,0.71,0.71
2016-04-07,0.0,0.71,0.71
2016-04-08,0.0,0.7,0.7
2016-04-09,0.0,0.69,0.69
2016-04-10,0.0,0.68,0.69
2016-04-11,0.0,0.67,0.68
2016-04-12,0.0,0.67,0.68
2016-04-13,0.0,0.66,0.67
2016-04-14,0.0,0.66,0.67
2016-04-15,0.0,0.66,0.67
2016-04-16,0.0,0.65,0.66
2016-04-17,0.0,0.65,0.66
2016-04-18,0.0,0.64,0.66
2016-04-19,0.0,0.64,0.65
2016-04-20,0.0,0.64,0.65
2016-04-21,0.0,0.64,0.65
2016-04-22,0.0,0.64,0.65
2016-04-23,0.0,0.63,0.65
2016-04-24,0.0,0.63,0.64
2016-04-25,0.0,0.62,0.64
2016-04-26,0.24,0.62,0.64
2016-04-27,0.6,0.63,0.64
2016-04-28,0.07,0.63,0.64
2016-04-29,3.12,0.65,0.64
2016-04-30,0.08,0.64,0.64
2016-05-01,0.0,0.63,0.64
2016-05-02,0.0,0.63,0.64
2016-05-03,0.0,0.62,0.64
2016-05-04,0.0,0.62,0.63
2016-05-05,0.0,0.61,0.63
2016-05-06,0.0,0.61,0.63
2016-05-07,0.0,0.61,0.63
2016-05-08,0.0,0.61,0.63
2016-05-09,0.0,0.6,0.63
2016-05-10,0.0,0.6,0.62
2016-05-11,0.0,0.6,0.62
2016-05-12,1.57,0.61,0.62
2016-05-13,0.21,0.61,0.62
2016-05-14,0.02,0.6,0.62
2016-05-15,0.62,0.6,0.62
2016-05-16,4.07,0.65,0.63
2016-05-17,0.04,0.62,0.63
2016-05-18,1.02,0.62,0.63
2016-05-19,0.45,0.61,0.63
2016-05-20,0.31,0.61,0.63
2016-05-21,0.02,0.6,0.62
2016-05-22,0.07,0.6,0.62
2016-05-23,0.01,0.6,0.62
2016-05-24,0.0,0.6,0.62
2016-05-25,0.0,0.59,0.62
2016-05-26,0.0,0.59,0.62
2016-05-27,0.0,0.59,0.62
2016-05-28,0.0,0.59,0.62
2016-05-29,0.63,0.6,0.61
