date,precip_mm,surface_wetness,root_wetness
2016-01-01,1.02,0.86,0.86
2016-01-02,2.0,0.86,0.85
2016-01-03,8.3,0.87,0.85
2016-01-04,4.81,0.86,0.86
2016-01-05,0.53,0.84,0.85
2016-01-06,0.15,0.83,0.83
2016-01-07,3.24,0.83,0.82
2016-01-08,17.71,0.88,0.83
2016-01-09,11.0,0.89,0.86
2016-01-10,5.91,0.87,0.86
2016-01-11,25.92,0.93,0.88
2016-01-12,34.76,0.96,0.91
2016-01-13,24.14,0.96,0.94
2016-01-14,21.09,0.95,0.95
2016-01-15,36.32,0.97,0.97
2016-01-16,24.46,0.97,0.99
2016-01-17,5.29,0.95,0.98
2016-01-18,4.03,0.94,0.98
2016-01-19,15.56,0.96,0.97
2016-01-20,6.72,0.95,0.98
2016-01-21,1.26,0.93,0.97
2016-01-22,0.05,0.92,0.96
2016-01-23,0.1,0.91,0.95
2016-01-24,8.71,0.93,0.94
2016-01-25,11.9,0.94,0.95
2016-01-26,3.07,0.92,0.95
2016-01-27,10.23,0.93,0.94
2016-01-28,15.95,0.95,0.96
2016-01-29,4.1,0.94,0.97
2016-01-30,1.19,0.93,0.96
2016-01-31,0.0,0.91,0.95
2016-02-01,0.0,0.9,0.93
2016-02-02,0.23,0.9,0.92
2016-02-03,0.86,0.89,0.91
2016-02-04,0.76,0.88,0.9
2016-02-05,10.13,0.9,0.9
2016-02-06,5.67,0.9,0.9
2016-02-07,9.73,0.91,0.9
2016-02-08,3.69,0.9,0.91
2016-02-09,0.32,0.88,0.9
2016-02-10,0.17,0.87,0.88
2016-02-11,18.53,0.91,0.88
2016-02-12,1.23,0.88,0.89
2016-02-13,2.81,0.88,0.88
2016-02-14,0.75,0.87,0.87
2016-02-15,13.61,0.9,0.87
2016-02-16,10.14,0.91,0.89
2016-02-17,11.92,0.91,0.89
2016-02-18,2.28,0.89,0.9
2016-02-19,3.66,0.89,0.89
2016-02-20,6.88,0.9,0.89
2016-02-21,6.97,0.9,0.89
2016-02-22,10.45,0.91,0.9
2016-02-23,2.42,0.9,0.91
2016-02-24,2.24,0.9,0.91
2016-02-25,10.08,0.91,0.9
2016-02-26,2.4,0.89,0.9
2016-02-27,3.68,0.9,0.9
2016-02-28,0.47,0.89,0.89
2016-02-29,3.97,0.89,0.89
2016-03-01,7.65,0.9,0.89
2016-03-02,10.15,0.91,0.9
2016-03-03,20.74,0.93,0.92
2016-03-04,15.63,0.93,0.92
2016-03-05,11.99,0.93,0.94
2016-03-06,21.29,0.95,0.94
2016-03-07,13.32,0.95,0.96
2016-03-08,6.76,0.94,0.97
2016-03-09,0.56,0.92,0.96
2016-03-10,27.04,0.96,0.96
2016-03-11,14.42,0.96,0.98
2016-03-12,2.57,0.94,0.98
2016-03-13,3.69,0.94,0.97
2016-03-14,4.65,0.94,0.97
2016-03-15,5.68,0.93,0.96
2016-03-16,0.78,0.93,0.96
2016-03-17,5.96,0.93,0.96
2016-03-18,1.07,0.92,0.95
2016-03-19,0.01,0.91,0.94
2016-03-20,0.03,0.9,0.93
2016-03-21,0.35,0.9,0.92
2016-03-22,0.05,0.89,0.91
2016-03-23,6.4,0.9,0.9
2016-03-24,3.12,0.9,0.91
2016-03-25,17.52,0.93,0.92
2016-03-26,2.77,0.91,0.93
2016-03-27,1.32,0.9,0.92
2016-03-28,8.67,0.92,0.92
2016-03-29,4.94,0.92,0.93
2016-03-30,0.19,0.9,0.92
2016-03-31,1.97,0.91,0.92
2016-04-01,0.07,0.9,0.91
2016-04-02,0.07,0.89,0.9
2016-04-03,0.02,0.88,0.9
2016-04-04,0.07,0.87,0.88
2016-04-05,0.02,0.87,0.87
2016-04-06,0.03,0.86,0.86
2016-04-07,0.0,0.85,0.85
2016-04-08,0.03,0.84,0.84
2016-04-09,0.03,0.83,0.83
2016-04-10,0.0,0.82,0.82
2016-04-11,0.0,0.81,0.81
2016-04-12,0.0,0.8,0.8
2016-04-13,0.05,0.79,0.79
2016-04-14,0.02,0.78,0.78
2016-04-15,0.0,0.77,0.77
2016-04-16,0.0,0.75,0.76
2016-04-17,0.0,0.74,0.75
2016-04-18,0.0,0.73,0.74
2016-04-19,0.0,0.72,0.74
2016-04-20,0.0,0.7,0.73
2016-04-21,0.0,0.69,0.72
2016-04-22,0.0,0.68,0.71
2016-04-23,0.0,0.68,0.71
2016-04-24,0.0,0.67,0.7
2016-04-25,0.01,0.66,0.7
2016-04-26,0.51,0.66,0.69
2016-04-27,2.38,0.67,0.69
2016-04-28,0.29,0.66,0.69
2016-04-29,6.9,0.7,0.69
2016-04-30,0.46,0.67,0.7
2016-05-01,0.04,0.66,0.69
2016-05-02,0.0,0.65,0.69
2016-05-03,0.0,0.65,0.68
2016-05-04,0.0,0.64,0.68
2016-05-05,0.0,0.64,0.67
2016-05-06,0.0,0.63,0.67
2016-05-07,0.0,0.63,0.67
2016-05-08,0.0,0.63,0.66
2016-05-09,0.0,0.62,0.66
2016-05-10,0.18,0.62,0.65
2016-05-11,2.65,0.64,0.65
2016-05-12,1.25,0.63,0.65
2016-05-13,0.18,0.62,0.65
2016-05-14,0.01,0.62,0.65
2016-05-15,4.86,0.64,0.65
2016-05-16,1.92,0.64,0.65
2016-05-17,7.94,0.68,0.66
2016-05-18,0.29,0.63,0.66
2016-05-19,0.7,0.63,0.66
2016-05-20,10.8,0.69,0.67
2016-05-21,0.77,0.65,0.67
2016-05-22,0.48,0.64,0.67
2016-05-23,1.06,0.65,0.67
2016-05-24,0.05,0.63,0.67
2016-05-25,0.02,0.63,0.66
2016-05-26,0.02,0.63,0.66
2016-05-27,0.0,0.62,0.66
2016-05-28,0.02,0.62,0.65
2016-05-29,1.5,0.63,0.65
2016-05-30,8.55,0.68,0.66
2016-05-31,1.47,0.65,0.67
2016-06-01,10.88,0.69,0.67
2016-06-02,12.82,0.72,0.69
