date,precip_mm,surface_wetness,root_wetness
2016-01-01,3.4,0.74,0.7
2016-01-02,6.16,0.75,0.7
2016-01-03,38.35,0.89,0.74
2016-01-04,5.75,0.82,0.76
2016-01-05,0.21,0.76,0.74
2016-01-06,0.28,0.74,0.72
2016-01-07,5.11,0.76,0.72
2016-01-08,4.97,0.76,0.72
2016-01-09,8.91,0.78,0.72
2016-01-10,6.26,0.78,0.73
2016-01-11,15.87,0.82,0.74
2016-01-12,12.79,0.83,0.76
2016-01-13,11.6,0.83,0.76
2016-01-14,22.19,0.87,0.77
2016-01-15,48.05,0.93,0.8
2016-01-16,41.35,0.93,0.85
2016-01-17,4.54,0.86,0.84
2016-01-18,1.54,0.83,0.81
2016-01-19,12.26,0.85,0.8
2016-01-20,15.46,0.89,0.82
2016-01-21,0.17,0.82,0.81
2016-01-22,0.07,0.81,0.79
2016-01-23,1.46,0.8,0.78
2016-01-24,2.16,0.81,0.78
2016-01-25,3.51,0.81,0.78
2016-01-26,2.11,0.8,0.77
2016-01-27,19.41,0.84,0.77
2016-01-28,22.19,0.9,0.81
2016-01-29,16.58,0.9,0.84
2016-01-30,0.19,0.83,0.82
2016-01-31,0.01,0.82,0.8
2016-02-01,0.0,0.81,0.79
2016-02-02,0.03,0.8,0.78
2016-02-03,1.99,0.79,0.77
2016-02-04,0.63,0.79,0.77
2016-02-05,0.37,0.78,0.76
2016-02-06,2.31,0.79,0.76
2016-02-07,3.51,0.8,0.76
2016-02-08,2.53,0.8,0.76
2016-02-09,0.38,0.78,0.76
2016-02-10,0.1,0.77,0.75
2016-02-11,9.97,0.81,0.75
2016-02-12,0.14,0.78,0.76
2016-02-13,0.08,0.77,0.75
2016-02-14,0.48,0.76,0.74
2016-02-15,10.54,0.8,0.74
2016-02-16,8.71,0.83,0.76
2016-02-17,6.58,0.81,0.77
2016-02-18,9.05,0.82,0.77
2016-02-19,4.86,0.82,0.78
2016-02-20,17.55,0.86,0.78
2016-02-21,8.37,0.84,0.79
2016-02-22,11.67,0.85,0.79
2016-02-23,2.42,0.83,0.8
2016-02-24,1.09,0.81,0.79
2016-02-25,4.28,0.82,0.78
2016-02-26,4.54,0.81,0.78
2016-02-27,1.97,0.81,0.78
2016-02-28,5.03,0.81,0.78
2016-02-29,15.61,0.85,0.78
2016-03-01,5.78,0.84,0.8
2016-03-02,3.7,0.83,0.8
2016-03-03,11.18,0.85,0.8
2016-03-04,15.56,0.87,0.81
2016-03-05,3.9,0.85,0.82
2016-03-06,3.02,0.83,0.81
2016-03-07,3.85,0.84,0.8
2016-03-08,1.85,0.83,0.8
2016-03-09,0.01,0.81,0.79
2016-03-10,13.97,0.83,0.79
2016-03-11,7.22,0.86,0.81
2016-03-12,3.48,0.83,0.8
2016-03-13,2.76,0.83,0.8
2016-03-14,0.36,0.81,0.79
2016-03-15,0.44,0.8,0.78
2016-03-16,1.02,0.8,0.78
2016-03-17,1.45,0.8,0.78
2016-03-18,0.41,0.79,0.77
2016-03-19,0.03,0.79,0.77
2016-03-20,0.03,0.78,0.76
2016-03-21,0.02,0.77,0.75
2016-03-22,0.9,0.77,0.75
2016-03-23,7.66,0.8,0.75
2016-03-24,5.48,0.81,0.77
2016-03-25,9.17,0.82,0.77
2016-03-26,10.18,0.85,0.79
2016-03-27,1.33,0.82,0.79
2016-03-28,4.39,0.82,0.78
2016-03-29,6.98,0.83,0.78
2016-03-30,0.31,0.81,0.79
2016-03-31,0.1,0.8,0.78
2016-04-01,2.32,0.81,0.78
2016-04-02,0.53,0.8,0.77
2016-04-03,0.01,0.78,0.76
2016-04-04,0.07,0.78,0.76
2016-04-05,0.0,0.77,0.75
2016-04-06,0.01,0.76,0.74
2016-04-07,0.0,0.76,0.74
2016-04-08,0.0,0.75,0.73
2016-04-09,0.01,0.75,0.73
2016-04-10,0.0,0.74,0.72
2016-04-11,0.0,0.74,0.72
2016-04-12,0.0,0.73,0.71
2016-04-13,0.0,0.73,0.71
2016-04-14,0.0,0.73,0.71
2016-04-15,0.0,0.72,0.7
2016-04-16,0.0,0.72,0.7
2016-04-17,0.01,0.71,0.7
2016-04-18,0.0,0.71,0.69
2016-04-19,0.0,0.7,0.69
2016-04-20,0.0,0.7,0.69
2016-04-21,0.0,0.7,0.68
2016-04-22,0.0,0.69,0.68
2016-04-23,0.0,0.69,0.68
2016-04-24,0.0,0.68,0.67
2016-04-25,0.0,0.68,0.67
2016-04-26,2.72,0.69,0.67
2016-04-27,4.52,0.72,0.68
2016-04-28,1.65,0.71,0.68
2016-04-29,8.63,0.76,0.69
2016-04-30,0.53,0.73,0.7
2016-05-01,0.11,0.71,0.69
2016-05-02,0.0,0.7,0.69
2016-05-03,0.0,0.7,0.68
2016-05-04,0.0,0.69,0.68
2016-05-05,0.0,0.68,0.67
2016-05-06,0.0,0.68,0.67
2016-05-07,0.01,0.68,0.67
2016-05-08,0.0,0.67,0.67
2016-05-09,0.01,0.67,0.66
2016-05-10,0.07,0.66,0.66
2016-05-11,0.33,0.66,0.66
2016-05-12,0.14,0.66,0.66
2016-05-13,0.03,0.66,0.66
2016-05-14,0.01,0.65,0.65
2016-05-15,0.05,0.65,0.65
2016-05-16,0.19,0.65,0.65
2016-05-17,0.54,0.65,0.65
2016-05-18,1.94,0.65,0.65
2016-05-19,2.83,0.67,0.65
2016-05-20,1.46,0.66,0.65
2016-05-21,1.99,0.67,0.66
2016-05-22,0.16,0.66,0.65
2016-05-23,0.1,0.65,0.65
2016-05-24,0.0,0.64,0.65
2016-05-25,0.0,0.64,0.65
2016-05-26,0.0,0.64,0.65
2016-05-27,0.0,0.64,0.65
2016-05-28,0.0,0.64,0.64
2016-05-29,0.0,0.63,0.64
2016-05-30,8.82,0.69,0.65
2016-05-31,0.57,0.67,0.66
2016-06-01,15.46,0.74,0.66
2016-06-02,6.28,0.74,0.68
2016-06-03,13.68,0.79,0.7
2016-06-04,7.06,0.78,0.71
2016-06-05,4.27,0.75,0.7
2016-06-06,6.01,0.76,0.7
2016-06-07,5.03,0.75,0.7
2016-06-08,0.9,0.74,0.7
2016-06-09,0.02,0.72,0.69
2016-06-10,0.01,0.71,0.69
2016-06-11,0.0,0.7,0.68
2016-06-12,0.01,0.7,0.68
2016-06-13,0.0,0.69,0.68
2016-06-14,0.0,0.69,0.67
2016-06-15,0.0,0.68,0.67
2016-06-16,0.0,0.68,0.67
2016-06-17,0.0,0.67,0.66
2016-06-18,0.0,0.67,0.66
2016-06-19,0.0,0.66,0.66
2016-06-20,0.0,0.66,0.66
2016-06-21,0.04,0.66,0.66
2016-06-22,0.0,0.66,0.65
