date,precip_mm,surface_wetness,root_wetness
2016-01-01,1.53,0.7,0.68
2016-01-02,3.74,0.7,0.68
2016-01-03,1.2,0.7,0.68
2016-01-04,0.28,0.69,0.67
2016-01-05,0.26,0.68,0.67
2016-01-06,0.03,0.68,0.67
2016-01-07,0.0,0.67,0.66
2016-01-08,0.0,0.67,0.66
2016-01-09,0.0,0.67,0.66
2016-01-10,0.41,0.67,0.65
2016-01-11,0.02,0.66,0.65
2016-01-12,0.02,0.66,0.65
2016-01-13,0.07,0.66,0.64
2016-01-14,0.16,0.65,0.64
2016-01-15,0.54,0.65,0.64
2016-01-16,27.88,0.75,0.66
2016-01-17,22.33,0.77,0.7
2016-01-18,27.61,0.8,0.73
2016-01-19,17.63,0.79,0.74
2016-01-20,32.49,0.82,0.75
2016-01-21,14.7,0.81,0.77
2016-01-22,2.79,0.77,0.76
2016-01-23,0.26,0.75,0.74
2016-01-24,0.33,0.74,0.73
2016-01-25,0.86,0.73,0.72
2016-01-26,0.0,0.73,0.71
2016-01-27,0.0,0.72,0.71
2016-01-28,0.0,0.72,0.7
2016-01-29,0.0,0.72,0.7
2016-01-30,0.0,0.71,0.7
2016-01-31,0.0,0.71,0.69
2016-02-01,0.0,0.71,0.69
2016-02-02,0.0,0.7,0.69
2016-02-03,0.0,0.7,0.68
2016-02-04,0.0,0.7,0.68
2016-02-05,0.0,0.69,0.68
2016-02-06,0.0,0.69,0.68
2016-02-07,0.0,0.69,0.67
2016-02-08,0.0,0.68,0.67
2016-02-09,0.0,0.68,0.67
2016-02-10,0.0,0.68,0.66
2016-02-11,0.01,0.67,0.66
2016-02-12,0.0,0.67,0.66
2016-02-13,0.01,0.67,0.65
2016-02-14,0.06,0.66,0.65
2016-02-15,0.0,0.66,0.65
2016-02-16,0.0,0.66,0.65
2016-02-17,0.0,0.65,0.64
2016-02-18,0.0,0.65,0.64
2016-02-19,0.0,0.65,0.64
2016-02-20,0.53,0.65,0.64
2016-02-21,0.56,0.65,0.64
2016-02-22,1.69,0.65,0.63
2016-02-23,1.69,0.65,0.63
2016-02-24,0.65,0.64,0.63
2016-02-25,2.52,0.65,0.63
2016-02-26,3.19,0.65,0.63
2016-02-27,4.01,0.66,0.63
2016-02-28,2.4,0.66,0.63
2016-02-29,4.36,0.66,0.64
2016-03-01,2.67,0.66,0.64
