date,precip_mm,surface_wetness,root_wetness
2016-01-01,0.02,0.53,0.56
2016-01-02,0.02,0.52,0.56
2016-01-03,0.0,0.52,0.55
2016-01-04,0.0,0.51,0.55
2016-01-05,0.0,0.51,0.55
2016-01-06,0.0,0.51,0.54
2016-01-07,0.0,0.5,0.54
2016-01-08,0.0,0.49,0.53
2016-01-09,0.0,0.49,0.53
2016-01-10,0.0,0.49,0.53
2016-01-11,0.0,0.49,0.53
2016-01-12,0.0,0.48,0.52
2016-01-13,0.0,0.48,0.52
2016-01-14,0.0,0.48,0.52
2016-01-15,0.0,0.47,0.51
2016-01-16,0.08,0.47,0.51
2016-01-17,0.12,0.47,0.51
2016-01-18,0.45,0.47,0.51
2016-01-19,0.63,0.47,0.51
2016-01-20,0.75,0.47,0.51
2016-01-21,0.53,0.47,0.5
2016-01-22,0.05,0.46,0.5
2016-01-23,0.05,0.46,0.5
2016-01-24,0.03,0.46,0.5
2016-01-25,0.05,0.45,0.49
2016-01-26,0.0,0.44,0.49
2016-01-27,0.0,0.44,0.49
2016-01-28,0.0,0.43,0.49
2016-01-29,0.0,0.42,0.48
2016-01-30,0.0,0.42,0.48
2016-01-31,0.0,0.41,0.48
2016-02-01,0.0,0.4,0.48
2016-02-02,0.0,0.39,0.48
2016-02-03,0.0,0.39,0.48
2016-02-04,0.0,0.38,0.47
2016-02-05,0.0,0.38,0.47
2016-02-06,0.0,0.37,0.47
2016-02-07,0.0,0.36,0.47
2016-02-08,0.0,0.35,0.47
2016-02-09,0.0,0.34,0.47
2016-02-10,0.0,0.32,0.47
2016-02-11,0.0,0.3,0.46
2016-02-12,0.01,0.29,0.46
2016-02-13,0.01,0.28,0.46
2016-02-14,0.04,0.28,0.46
2016-02-15,0.91,0.3,0.46
2016-02-16,0.01,0.31,0.46
2016-02-17,0.09,0.29,0.46
2016-02-18,0.28,0.28,0.46
2016-02-19,0.48,0.28,0.46
2016-02-20,0.03,0.28,0.46
2016-02-21,0.13,0.27,0.46
2016-02-22,0.24,0.26,0.46
2016-02-23,0.14,0.25,0.46
2016-02-24,0.02,0.25,0.46
2016-02-25,1.55,0.28,0.46
2016-02-26,1.74,0.33,0.47
2016-02-27,3.58,0.39,0.47
2016-02-28,4.39,0.47,0.47
2016-02-29,5.53,0.51,0.48
2016-03-01,2.72,0.49,0.49
2016-03-02,0.08,0.45,0.48
2016-03-03,0.04,0.44,0.48
2016-03-04,0.04,0.42,0.47
2016-03-05,0.33,0.4,0.47
2016-03-06,0.24,0.38,0.47
2016-03-07,3.55,0.39,0.47
2016-03-08,4.97,0.49,0.48
2016-03-09,2.48,0.48,0.48
2016-03-10,2.19,0.47,0.48
2016-03-11,2.82,0.48,0.48
2016-03-12,2.98,0.48,0.48
2016-03-13,16.85,0.56,0.49
2016-03-14,10.46,0.56,0.52
2016-03-15,1.7,0.49,0.52
2016-03-16,2.85,0.5,0.51
2016-03-17,5.69,0.52,0.51
2016-03-18,41.83,0.63,0.53
2016-03-19,9.77,0.62,0.6
2016-03-20,3.76,0.58,0.58
2016-03-21,4.94,0.58,0.57
2016-03-22,1.76,0.55,0.57
2016-03-23,2.23,0.55,0.56
2016-03-24,9.38,0.59,0.57
2016-03-25,0.88,0.55,0.57
2016-03-26,2.59,0.54,0.57
2016-03-27,3.01,0.54,0.56
2016-03-28,3.06,0.54,0.56
2016-03-29,4.65,0.55,0.56
2016-03-30,3.81,0.55,0.56
2016-03-31,3.07,0.55,0.56
2016-04-01,7.71,0.55,0.56
2016-04-02,13.94,0.63,0.59
2016-04-03,0.26,0.56,0.58
2016-04-04,1.14,0.56,0.58
2016-04-05,1.78,0.56,0.57
2016-04-06,2.04,0.56,0.57
2016-04-07,1.81,0.56,0.57
2016-04-08,1.53,0.55,0.57
2016-04-09,1.78,0.55,0.57
2016-04-10,3.56,0.57,0.57
2016-04-11,3.28,0.56,0.57
2016-04-12,3.34,0.56,0.57
2016-04-13,2.31,0.55,0.57
2016-04-14,5.12,0.56,0.57
2016-04-15,8.16,0.59,0.58
2016-04-16,5.35,0.59,0.58
2016-04-17,2.68,0.57,0.58
2016-04-18,5.58,0.58,0.58
2016-04-19,1.73,0.56,0.58
2016-04-20,5.07,0.58,0.58
2016-04-21,0.6,0.56,0.58
2016-04-22,0.03,0.55,0.57
2016-04-23,0.09,0.54,0.57
2016-04-24,0.19,0.53,0.56
2016-04-25,0.49,0.53,0.56
2016-04-26,2.43,0.54,0.56
2016-04-27,2.6,0.54,0.56
2016-04-28,3.59,0.56,0.56
2016-04-29,0.7,0.53,0.56
2016-04-30,3.04,0.54,0.56
2016-05-01,1.11,0.53,0.55
2016-05-02,3.37,0.53,0.55
2016-05-03,1.46,0.53,0.55
2016-05-04,0.37,0.51,0.55
2016-05-05,1.02,0.51,0.54
2016-05-06,4.8,0.53,0.54
2016-05-07,3.91,0.55,0.55
2016-05-08,1.21,0.52,0.55
2016-05-09,2.29,0.53,0.55
2016-05-10,1.51,0.52,0.55
2016-05-11,1.53,0.52,0.54
2016-05-12,8.91,0.56,0.55
2016-05-13,3.08,0.55,0.56
2016-05-14,1.37,0.53,0.56
2016-05-15,0.64,0.52,0.55
2016-05-16,10.29,0.57,0.55
2016-05-17,18.38,0.63,0.58
2016-05-18,7.85,0.61,0.59
2016-05-19,0.75,0.57,0.59
2016-05-20,8.32,0.59,0.58
2016-05-21,10.7,0.62,0.59
2016-05-22,6.49,0.61,0.6
2016-05-23,11.49,0.63,0.6
2016-05-24,52.24,0.76,0.63
2016-05-25,14.12,0.76,0.7
2016-05-26,4.1,0.72,0.68
2016-05-27,2.26,0.7,0.67
2016-05-28,1.04,0.68,0.66
2016-05-29,7.42,0.7,0.66
2016-05-30,5.67,0.7,0.66
2016-05-31,2.3,0.68,0.66
2016-06-01,3.39,0.68,0.65
2016-06-02,8.88,0.69,0.65
2016-06-03,4.18,0.69,0.66
2016-06-04,0.97,0.67,0.65
2016-06-05,6.06,0.68,0.65
2016-06-06,9.9,0.71,0.66
2016-06-07,7.08,0.7,0.66
2016-06-08,6.9,0.71,0.67
2016-06-09,28.7,0.78,0.69
2016-06-10,11.59,0.77,0.72
2016-06-11,1.89,0.74,0.71
2016-06-12,7.4,0.75,0.71
