date,precip_mm,surface_wetness,root_wetness
2016-01-01,0.0,0.41,0.46
2016-01-02,0.0,0.41,0.45
2016-01-03,0.0,0.41,0.45
2016-01-04,0.0,0.4,0.45
2016-01-05,0.0,0.41,0.44
2016-01-06,0.0,0.4,0.44
2016-01-07,0.0,0.39,0.44
2016-01-08,0.0,0.39,0.44
2016-01-09,0.0,0.39,0.43
2016-01-10,0.0,0.39,0.43
2016-01-11,0.0,0.39,0.43
2016-01-12,0.0,0.38,0.43
2016-01-13,0.0,0.38,0.43
2016-01-14,0.0,0.38,0.42
2016-01-15,0.0,0.37,0.42
2016-01-16,0.01,0.37,0.42
2016-01-17,0.03,0.37,0.42
2016-01-18,0.01,0.37,0.42
2016-01-19,0.08,0.38,0.42
2016-01-20,0.06,0.37,0.41
2016-01-21,0.3,0.38,0.41
2016-01-22,0.0,0.37,0.41
2016-01-23,0.0,0.36,0.41
2016-01-24,0.0,0.35,0.41
2016-01-25,0.0,0.34,0.4
2016-01-26,0.0,0.34,0.4
2016-01-27,0.0,0.33,0.4
2016-01-28,0.0,0.33,0.4
2016-01-29,0.0,0.32,0.4
2016-01-30,0.0,0.31,0.4
2016-01-31,0.0,0.3,0.4
2016-02-01,0.0,0.29,0.4
2016-02-02,0.0,0.28,0.4
2016-02-03,0.0,0.28,0.4
2016-02-04,0.0,0.27,0.4
2016-02-05,0.0,0.26,0.4
2016-02-06,0.0,0.26,0.39
2016-02-07,0.0,0.25,0.39
2016-02-08,0.0,0.24,0.39
2016-02-09,0.0,0.23,0.39
2016-02-10,0.0,0.23,0.39
2016-02-11,0.0,0.22,0.39
2016-02-12,0.0,0.21,0.39
2016-02-13,0.0,0.21,0.39
2016-02-14,0.01,0.2,0.39
2016-02-15,0.07,0.2,0.39
2016-02-16,0.02,0.2,0.39
2016-02-17,0.03,0.2,0.39
2016-02-18,0.01,0.2,0.39
2016-02-19,0.03,0.19,0.39
2016-02-20,0.0,0.19,0.39
2016-02-21,0.01,0.19,0.39
2016-02-22,0.03,0.18,0.39
2016-02-23,0.02,0.18,0.39
2016-02-24,0.0,0.18,0.39
2016-02-25,0.29,0.19,0.39
2016-02-26,0.24,0.19,0.39
2016-02-27,2.34,0.25,0.39
2016-02-28,5.61,0.38,0.4
2016-02-29,8.86,0.5,0.42
2016-03-01,4.05,0.46,0.42
2016-03-02,0.01,0.39,0.42
2016-03-03,0.0,0.36,0.41
2016-03-04,0.0,0.36,0.41
2016-03-05,0.01,0.35,0.4
2016-03-06,0.02,0.34,0.4
2016-03-07,1.3,0.34,0.4
2016-03-08,1.68,0.37,0.4
2016-03-09,1.33,0.38,0.4
2016-03-10,3.5,0.41,0.4
2016-03-11,6.16,0.46,0.41
2016-03-12,2.51,0.43,0.42
2016-03-13,9.26,0.47,0.42
2016-03-14,11.55,0.53,0.44
2016-03-15,1.06,0.44,0.44
2016-03-16,2.48,0.42,0.44
2016-03-17,1.83,0.43,0.43
