date,precip_mm,surface_wetness,root_wetness
2016-01-01,0.0,0.3,0.49
2016-01-02,0.0,0.29,0.49
2016-01-03,0.0,0.29,0.49
2016-01-04,0.0,0.28,0.49
2016-01-05,0.0,0.27,0.48
2016-01-06,0.0,0.27,0.48
2016-01-07,0.0,0.26,0.48
2016-01-08,0.0,0.26,0.48
2016-01-09,2.34,0.29,0.48
2016-01-10,0.13,0.33,0.49
2016-01-11,0.0,0.31,0.48
2016-01-12,0.0,0.29,0.48
2016-01-13,0.0,0.28,0.48
2016-01-14,0.81,0.29,0.48
2016-01-15,1.56,0.3,0.48
2016-01-16,0.57,0.34,0.49
2016-01-17,0.0,0.31,0.48
2016-01-18,0.24,0.29,0.48
2016-01-19,2.86,0.32,0.48
2016-01-20,2.79,0.45,0.49
2016-01-21,1.77,0.44,0.49
2016-01-22,1.12,0.44,0.49
2016-01-23,4.51,0.46,0.5
2016-01-24,6.37,0.53,0.51
2016-01-25,1.7,0.51,0.51
2016-01-26,0.89,0.5,0.51
2016-01-27,0.96,0.5,0.51
2016-01-28,0.07,0.48,0.51
2016-01-29,0.01,0.46,0.5
2016-01-30,2.19,0.48,0.5
2016-01-31,0.53,0.48,0.5
2016-02-01,0.15,0.46,0.5
2016-02-02,0.02,0.44,0.5
2016-02-03,0.0,0.42,0.49
2016-02-04,0.0,0.4,0.49
2016-02-05,0.0,0.38,0.49
2016-02-06,0.0,0.37,0.49
2016-02-07,0.0,0.35,0.49
2016-02-08,0.0,0.34,0.49
2016-02-09,0.0,0.33,0.49
2016-02-10,0.0,0.32,0.49
2016-02-11,0.0,0.3,0.48
2016-02-12,0.0,0.29,0.48
2016-02-13,0.0,0.27,0.48
2016-02-14,0.0,0.26,0.48
2016-02-15,0.0,0.24,0.48
2016-02-16,0.0,0.24,0.48
2016-02-17,0.0,0.23,0.48
2016-02-18,0.0,0.23,0.48
2016-02-19,0.0,0.22,0.48
2016-02-20,0.0,0.22,0.48
2016-02-21,0.0,0.21,0.48
2016-02-22,0.0,0.21,0.48
2016-02-23,0.0,0.2,0.48
2016-02-24,0.0,0.2,0.48
2016-02-25,0.0,0.2,0.48
2016-02-26,0.0,0.2,0.48
2016-02-27,0.0,0.19,0.48
2016-02-28,0.0,0.19,0.48
2016-02-29,0.0,0.19,0.48
2016-03-01,0.0,0.18,0.48
2016-03-02,0.0,0.18,0.48
2016-03-03,0.0,0.18,0.48
2016-03-04,0.0,0.17,0.48
2016-03-05,0.0,0.17,0.48
2016-03-06,0.01,0.17,0.48
2016-03-07,0.0,0.17,0.48
2016-03-08,0.0,0.16,0.48
2016-03-09,0.0,0.16,0.48
2016-03-10,0.0,0.16,0.48
2016-03-11,0.03,0.16,0.48
2016-03-12,0.01,0.16,0.48
2016-03-13,0.0,0.16,0.48
2016-03-14,0.0,0.15,0.48
2016-03-15,0.0,0.15,0.48
2016-03-16,0.0,0.15,0.48
2016-03-17,0.0,0.15,0.48
2016-03-18,0.0,0.15,0.48
2016-03-19,0.0,0.15,0.48
2016-03-20,0.0,0.14,0.48
2016-03-21,0.0,0.14,0.48
2016-03-22,0.0,0.14,0.48
2016-03-23,0.0,0.14,0.48
2016-03-24,0.0,0.14,0.48
2016-03-25,0.0,0.14,0.48
2016-03-26,0.0,0.14,0.48
2016-03-27,0.0,0.14,0.48
2016-03-28,0.0,0.13,0.48
2016-03-29,0.0,0.13,0.48
2016-03-30,0.0,0.13,0.48
2016-03-31,1.21,0.16,0.48
2016-04-01,2.0,0.22,0.48
2016-04-02,12.21,0.48,0.49
2016-04-03,0.55,0.49,0.5
2016-04-04,0.0,0.43,0.5
2016-04-05,0.0,0.38,0.49
2016-04-06,0.0,0.34,0.49
2016-04-07,0.0,0.32,0.49
2016-04-08,0.04,0.3,0.49
2016-04-09,0.0,0.28,0.48
2016-04-10,0.0,0.26,0.48
2016-04-11,0.0,0.25,0.48
2016-04-12,0.0,0.23,0.48
2016-04-13,0.0,0.22,0.48
2016-04-14,0.0,0.21,0.48
2016-04-15,0.0,0.2,0.48
2016-04-16,0.0,0.2,0.48
2016-04-17,0.0,0.19,0.48
2016-04-18,2.89,0.24,0.48
2016-04-19,0.49,0.29,0.48
2016-04-20,4.79,0.34,0.49
2016-04-21,8.18,0.53,0.5
2016-04-22,0.06,0.46,0.5
2016-04-23,0.0,0.43,0.49
2016-04-24,0.0,0.38,0.49
2016-04-25,0.22,0.34,0.49
2016-04-26,0.4,0.33,0.49
2016-04-27,0.16,0.3,0.48
2016-04-28,0.08,0.28,0.48
2016-04-29,4.25,0.32,0.48
2016-04-30,50.8,0.71,0.57
2016-05-01,0.12,0.54,0.57
2016-05-02,0.79,0.53,0.56
2016-05-03,0.06,0.51,0.55
2016-05-04,5.78,0.55,0.55
2016-05-05,0.02,0.51,0.55
2016-05-06,1.23,0.5,0.54
2016-05-07,4.47,0.54,0.54
2016-05-08,2.4,0.52,0.54
2016-05-09,0.58,0.51,0.54
2016-05-10,0.09,0.49,0.53
2016-05-11,0.02,0.48,0.53
2016-05-12,6.7,0.53,0.53
2016-05-13,9.54,0.57,0.54
2016-05-14,4.35,0.56,0.55
2016-05-15,6.33,0.56,0.55
2016-05-16,13.15,0.63,0.57
2016-05-17,0.12,0.54,0.57
2016-05-18,5.19,0.58,0.57
2016-05-19,3.53,0.58,0.57
2016-05-20,6.47,0.59,0.58
2016-05-21,16.2,0.67,0.6
2016-05-22,1.49,0.59,0.6
2016-05-23,4.57,0.6,0.59
2016-05-24,7.31,0.62,0.6
2016-05-25,3.16,0.59,0.6
2016-05-26,5.43,0.61,0.6
2016-05-27,1.87,0.58,0.59
2016-05-28,7.15,0.6,0.59
2016-05-29,17.93,0.68,0.61
