asset_id,trade_date,close,volume,open_interest,data_source,data_status
es,2026-09-09,7643.75,1541813,,yahoo,verified
nq,2026-09-09,29448.75,613787,,yahoo,verified
if,2026-09-09,4560.0,55597,110440.0,akshare_sina,verified
hti,2026-09-08,4.372000217437744,1714197519,,yahoo,verified
zn,2026-09-09,107.34375,5053,,yahoo,verified
t,2026-09-09,109.41,70727,394115.0,akshare_sina,verified
gc,2026-09-09,4416.0,215,,yahoo,verified
si,2026-09-09,67.94200134277344,95,,yahoo,verified
hg,2026-09-09,6.803500175476074,675,,yahoo,verified
al,2026-09-09,24560.0,172848,247068.0,akshare_sina,verified
i,2026-09-09,738.0,247689,612127.0,akshare_sina,verified
lc,2026-09-09,142000.0,148448,405436.0,akshare_sina,verified
cc,2026-09-09,5924.0,1,,yahoo,warning
kc,2026-09-09,319.20001220703125,1,,yahoo,warning
sr,2026-09-09,5485.0,480790,658588.0,akshare_sina,verified
cl,2026-09-09,96.05000305175781,435231,,yahoo,verified
brn,2026-09-09,101.20999908447266,71135,,yahoo,verified
ng,2026-09-09,2.822000026702881,248447,,yahoo,warning
dx,2026-09-09,98.7699966430664,0,,yahoo,verified
zs,2026-09-09,1295.25,53,,yahoo,verified
btc,2026-09-09,78259.5234375,29192409298,,yahoo,verified
eth,2026-09-09,2466.913818359375,14955608804,,yahoo,verified
